timestamp	accelX	accelY	accelZ	gyroX	gyroY	gyroZ	altitude
10	-0,024	-0,067	1,011	-6,588	3,641	5,916	0
110	-0,022	-0,07	1,011	-6,542	3,656	5,901	0
210	-0,023	-0,073	1,012	-6,573	3,687	5,901	0
310	-0,02	-0,076	1,01	-6,622	3,65	5,952	0
410	0,004	-0,079	0,983	-6,602	3,451	6,208	0
510	0,039	-0,108	0,971	-6,62	3,347	6,519	0
610	0,042	-0,122	0,991	-6,617	3,497	6,56	0
710	0,015	-0,107	1,011	-6,591	3,656	6,3	0
810	-0,024	-0,071	1,012	-6,588	3,641	5,916	0
910	-0,018	-0,067	1,012	-6,588	3,611	5,916	0
1010	-0,025	-0,069	1,013	-6,588	3,641	5,886	0
1110	-0,023	-0,071	1,012	-6,603	3,641	5,916	0
1210	-0,02	-0,075	1,012	-6,542	3,641	5,871	0
1310	0,303	0,073	0,438	-6,66	20,653	6,901	0
1410	1,045	1,388	0,402	-58,3	112,528	46,77	0
1510	1,324	1,969	1,219	-69,713	144,387	56,476	0
1610	0,749	1,378	2,038	-47,426	98,092	34,353	0
1710	-0,017	0,45	2,602	-17,175	31,565	4,336	0
1810	-0,351	0,042	2,849	-4,229	2,675	-8,523	0
1910	-0,706	0,116	6,033	-3,414	2,298	-22,114	0
2010	-1,404	0,462	11,798	-5,489	1,291	-3,483	0,22
2110	-1,546	0,423	13,258	-2,59	5,137	20,992	1,54
2210	-1,107	0,289	9,126	0,736	7,929	49,755	4,399
2310	-0,898	0,194	7,873	-4,945	2,469	56,125	8,579
2410	-0,666	0,22	6,863	-21,58	-0,271	69,755	13,694
2510	-0,531	0,188	5,657	-24,101	0,883	82,525	19,809
2610	-0,549	0,103	4,876	-19,365	4,118	98,124	26,792
2710	-0,642	0,021	4,996	-16,573	8,088	121,819	34,78
2810	-0,783	0,025	6,143	-23,623	12,072	156,387	43,623
2910	-0,743	-0,052	5,74	-27,95	13,254	175,991	53,392
3010	-0,705	-0,121	5,478	-28,011	11,545	189,586	63,965
3110	-0,657	-0,101	5,398	-26,516	16,108	204,693	75,351
3210	-0,59	-0,194	5,446	-32,894	18,259	226,65	87,591
3310	-0,617	-0,229	5,459	-31,886	15,037	234,009	100,631
3410	0,381	0,889	5,439	-33,219	19,403	266,235	114,405
3510	0,536	0,408	5,626	-32,108	27,789	287,029	128,903
3610	-0,039	-0,99	5,786	-31,179	33,39	295,039	144,198
3710	-0,595	-1,71	5,718	-33,398	32,593	299,355	159,941
3810	-0,395	-0,178	5,224	-41,87	21,899	309,196	176,453
3910	-0,456	-0,402	5,109	-45,62	24,912	328,899	193,538
4010	-0,365	-0,525	4,773	-46,169	24,088	333,843	210,936
4110	-15,936	1,397	-15,967	-4,818	-496,405	-493,58	228,426
4210	6,81	-12,479	-15,967	-506,802	503,58	-493,58	245,174
4310	-9,551	13,539	-11,541	-123,013	172,257	-166,588	261,332
4410	-0,307	-10,335	24,198	-327,145	-22,336	1766,05	276,954
4510	4,601	-19,55	32,925	-175,739	65,787	2472,252	292,158
4610	5,57	-16,113	22,16	-82,261	42,916	1901,244	306,798
4710	4,43	-7,246	6,498	-12,736	-18,153	744,993	321,001
4810	3,006	-0,251	0,405	63,633	-25,885	-287,373	334,728
4910	2,529	0,189	-0,552	-9,716	-135,9	271,068	348,022
5010	2,05	-0,643	-0,21	69,035	80,729	-239,842	360,911
5110	0,031	0,551	0,563	-1,858	128,87	-82,295	373,432
5210	0,921	0,715	-0,541	136,982	-54,571	187,999	385,59
5310	0,658	-0,314	-0,383	-1,263	-46,196	230,616	397,403
5410	0,726	-0,838	-0,711	221,992	109,479	80,025	408,886
5510	0,629	-0,822	-0,327	245,054	66,67	63,248	420,05
5610	0,544	-0,577	-0,281	139,594	-38,299	152,026	430,91
5710	0,614	-0,258	-0,229	-1,058	-88,125	279,415	441,479
5810	0,984	-0,001	0,147	-83,393	26,505	374,919	451,746
5910	0,435	-0,29	-0,073	-91,091	-22,146	94,341	461,683
6010	0,188	-0,18	-0,016	1,988	0,925	-15,263	471,439
6110	0,305	-0,233	-0,002	33,405	-46,087	-142,048	480,941
6210	0,273	-0,164	-0,127	65,342	9,104	-87,254	490,191
6310	0,223	-0,135	-0,082	-2,181	38,479	-78,735	499,202
6410	0,157	-0,11	-0,075	-52,932	-19,133	-71,155	508,018
6510	0,082	-0,094	-0,008	-45,932	-34,161	-63,392	516,577
6610	0,053	-0,095	0,038	-13,142	-17,736	-62,148	524,92
6710	0,069	-0,109	0,049	17,245	10,976	-70,729	533,053
6810	0,128	-0,129	0,011	17,037	32,809	-92,437	540,984
6910	0,135	-0,156	-0,033	-8,48	40,537	-99,69	548,712
7010	0,124	-0,159	-0,028	-20,168	38,736	-75,55	556,255
7110	0,112	-0,148	0,012	-15,118	29,78	-57,301	563,597
7210	0,101	-0,168	0,077	15,461	23,829	-46,65	570,756
7310	0,105	-0,128	0,024	36,044	11,477	-48,818	577,733
7410	0,09	-0,098	0,05	48,217	-2,169	-36,252	584,536
7510	0,001	-0,039	0,016	51,035	-12,39	-13,899	591,165
7610	-0,069	0,034	-0,044	45,078	-19,758	25,84	597,624
7710	0,021	0,068	-0,112	25,408	-24,339	82,71	603,899
7810	0,409	0,013	-0,171	-12,909	-26,21	156,351	610,062
7910	0,606	-0,076	-0,352	-55,37	-13,525	108,974	616,037
8010	0,847	-0,327	-1,519	7,771	-9,863	131,664	621,858
8110	2,2	-0,742	-5,881	-124,844	61,686	-250,981	627,519
8210	1,668	-0,989	-4,337	211,414	340,616	-105,564	633,041
8310	1,414	-0,365	-2,497	77,031	-258,824	6,244	638,418
8410	0,301	-0,185	0,506	-14,511	142,061	-319,838	643,648
8510	0,305	-0,21	0,847	-16,484	318,526	-399,052	648,738
8610	0,326	-0,177	0,103	57,67	291,335	-274,125	653,693
8710	0,478	-0,199	-0,898	103,501	159,827	-144,935	658,495
8810	0,84	-0,379	-1,307	21,458	21,113	-204,136	663,195
