timestamp	accelX	accelY	accelZ	gyroX	gyroY	gyroZ	altitude
76894	-0,000549	0,003784	-0,99231	-0,900805	0,419872	1,374314	555,21
76994	0,00238	0,004272	-0,997681	-0,83977	0,374096	1,389573	555,26
77094	-0,036194	0,015503	-0,976685	-0,778735	-0,55669	3,785203	555,32
77194	-0,032776	0,077026	-1,027954	1,357496	-0,05315	3,617356	555,34
77294	0,06781	-0,041138	-1,007446	-3,677905	0,892895	-5,12593	555,38
77394	0,008728	0,01355	-0,990356	1,586377	2,189892	-7,506301	555,45
77494	-0,095276	-0,115845	-1,002075	5,797803	1,182812	-17,714432	555,48
77594	-0,055237	-0,198364	-0,976685	0,777662	-4,478199	-11,488845	555,5
77694	0,039001	-0,380981	-0,935669	0,884473	-12,885792	-10,817458	555,53
77794	-0,014709	-0,373169	-0,840454	7,934033	-13,709766	-2,34883	555,57
77894	0,070251	-0,379028	-0,751587	5,950391	-10,719044	-3,783156	555,62
77994	0,126892	-0,379517	-0,657349	6,118237	-7,728321	4,395555	555,65
78094	0,180115	-0,239868	-0,582642	8,025586	-10,841114	4,151414	555,68
78194	0,203552	-0,213501	-0,470825	10,726392	-13,618214	5,982469	555,72
78294	0,236755	-0,147583	-0,366333	7,033765	-11,955006	3,892015	555,75
78394	0,221619	-0,075317	-0,298462	6,850659	-8,262379	3,846238	555,77
78494	0,421326	-0,049927	-0,261841	4,363477	-16,975147	3,892015	555,83
78594	0,375916	0,002808	-0,202759	2,791822	-4,203541	4,410813	555,84
78694	0,445251	-0,039185	-0,150024	6,164014	-11,573536	2,472947	555,88
78794	0,504333	-0,03772	-0,121704	9,36836	-12,199146	5,555223	555,9
78894	0,578552	0,101929	-0,062134	7,0948	-11,588795	5,478929	555,94
78994	0,612244	0,188843	-0,022095	11,474072	-8,201344	6,012986	555,99
79094	0,723083	0,185425	0,002319	3,676831	-7,606251	2,381394	556,01
79194	0,682556	0,312378	0,0448	6,911695	-6,919605	4,883836	556,04
79294	0,847107	0,328491	0,010132	6,20979	-8,262379	4,654954	556,09
79394	0,929138	0,432495	0,008179	6,637036	-12,168629	4,990647	556,12
79494	0,948181	0,558472	-0,027954	10,085523	-7,941944	8,133958	556,17
79594	1,030212	0,548706	-0,029419	8,635938	-6,35503	5,768846	556,19
79694	1,057068	0,57312	-0,088989	6,499707	-8,216602	6,97429	556,23
79794	1,149841	0,718628	-0,095337	4,973828	-5,210621	4,288743	556,28
79894	1,162537	0,563843	-0,149536	5,950391	-6,675465	5,616258	556,32
79994	1,316833	0,684937	-0,180298	8,895337	-10,200245	4,212449	556,35
80094	1,327087	0,751343	-0,267212	12,374341	-11,573536	5,70781	556,36
80194	1,431091	0,784058	-0,334595	8,819043	-6,644947	0,992844	556,38
80294	1,469666	0,907593	-0,398071	12,755811	-10,13921	5,84514	556,39
80394	1,462341	0,85437	-0,50647	16,799391	-11,787159	7,416795	556,42
80494	1,542419	0,827026	-0,588989	13,305127	-9,75774	5,127976	556,44
80594	1,666443	1,011108	-0,824341	16,768873	-11,253101	5,860398	556,45
80694	1,642029	0,949097	-0,916626	12,175977	-11,573536	3,785203	556,48
80794	1,640564	0,875854	-1,015747	10,695874	-7,667286	1,465867	556,47
80894	1,654236	0,883179	-1,139771	11,138379	-7,514698	-0,685622	556,49
80994	1,657654	0,967163	-1,248657	16,250074	-9,589893	4,212449	556,47
81094	1,573669	0,85144	-1,332153	17,409742	-10,413868	4,838059	556,48
81194	1,544373	0,766968	-1,480591	16,036451	-10,902149	1,236985	556,51
81294	1,562927	0,721069	-1,622681	12,099683	-14,091236	2,030442	556,52
81394	1,436951	0,647827	-1,705688	11,641919	-14,945728	7,401536	556,51
81494	1,458923	0,584351	-1,837524	7,506787	-11,665089	5,646775	556,53
81594	1,368103	0,525269	-1,834106	4,409253	-9,162647	3,785203	556,52
81694	1,242126	0,513062	-1,785278	0,014722	-10,780079	5,372117	556,54
81794	1,276794	0,518433	-1,902954	4,043042	-8,12505	4,563401	556,52
81894	1,170837	0,426147	-1,860474	1,845777	-6,23296	-0,182082	556,49
81994	1,046814	0,452515	-1,897583	5,065381	-12,763721	0,062058	556,49
82094	1,038025	0,446655	-1,975708	-2,625048	-5,607349	-1,173904	556,51
82194	0,951599	0,364136	-1,922974	-1,572192	-5,485279	-0,365188	556,49
82294	1,014099	0,410034	-2,043091	2,013623	-4,707081	0,901292	556,48
82394	0,934509	0,409058	-1,934692	-1,34331	-0,571949	0,306199	556,48
82494	0,949646	0,41394	-1,944458	0,853955	-1,899463	1,984666	556,47
82594	0,967224	0,429077	-2,022095	-1,160205	0,83186	1,069138	556,45
82694	0,968201	0,387085	-1,978149	-4,24248	2,083081	0,855515	556,45
82794	0,988708	0,460327	-1,981567	-4,364551	4,814404	0,092576	556,43
82894	1,008728	0,493042	-1,942017	-4,166186	4,249828	1,572678	556,4
82994	1,029724	0,416382	-1,918091	-6,500781	5,958813	2,152513	556,38
83094	1,05658	0,559937	-1,890259	-4,303515	7,133739	0,824998	556,4
83194	1,095642	0,547729	-1,851685	-6,180346	6,935375	3,037522	556,38
83294	1,156677	0,585815	-1,848755	-2,441943	5,74519	2,106736	556,35
83394	1,203064	0,610718	-1,877563	-1,587451	7,271069	1,725266	556,35
83494	1,223083	0,572632	-1,810669	-8,713305	8,232372	0,702927	556,33
83594	1,293396	0,639038	-1,77063	-7,355273	8,827465	0,824998	556,35
83694	1,313904	0,661499	-1,708618	-7,90459	8,00349	-0,868728	556,33
83794	1,403748	0,778687	-1,721802	-5,310596	11,482494	0,611375	556,35
83894	1,429138	0,74939	-1,678833	-8,316577	10,15498	0,29094	556,33
83994	1,469666	0,785034	-1,615845	-10,208667	9,636181	-0,563552	556,34
84094	1,4599	0,874878	-1,506958	-11,215747	10,490673	-1,082351	556,33
84194	1,50238	0,877808	-1,394165	-11,597217	10,27705	-1,540115	556,34
84294	1,523865	0,96521	-1,303833	-9,41521	9,300488	-1,326491	556,34
84394	1,52533	1,019409	-1,228149	-13,687671	10,551708	-2,287795	556,37
84494	1,497986	0,990601	-1,06604	-22,491991	12,581127	-1,84529	556,37
84594	1,532166	1,042847	-0,927856	-19,897997	8,110302	-0,609328	556,38
84694	1,472595	1,033081	-0,784302	-21,301805	11,345165	0,367234	556,38
84794	1,443787	1,083862	-0,633911	-27,725756	13,695019	-1,936843	556,42
84894	1,39447	0,773315	-0,439575	-25,848925	12,001293	-0,609328	556,4
84994	1,309021	0,828979	-0,288696	-16,632616	7,606762	0,199387	556,42
85094	1,308533	0,641479	-0,198364	-20,325243	9,239452	-0,655105	556,45
85194	1,296814	0,7323	-0,15979	-19,867479	8,690136	-1,967361	556,43
85294	1,168884	0,444214	-0,057251	-16,190111	8,369701	-1,524856	556,45
85394	1,207947	0,652222	-0,043579	-14,786304	10,322826	-1,006057	556,47
85494	1,096619	0,425171	0,032104	-10,513843	9,559887	2,396653	556,47
85594	0,995544	0,256226	0,008179	-13,5656	7,744091	0,443528	556,49
85694	0,946228	0,349976	0,080444	-5,158008	4,753368	3,220628	556,52
85794	0,912537	0,18103	0,080444	-0,626147	1,655834	3,998826	556,51
85894	0,935974	0,27771	0,104858	-0,763476	1,21333	2,213548	556,53
85994	0,903259	0,203491	0,087769	-1,114428	-0,205738	0,077317	556,54
86094	0,918884	0,29187	0,092163	-0,626147	-1,56377	-13,640334	556,51
86194	0,941345	0,156128	-0,010864	-1,175463	-8,857471	-37,093094	556,54
86294	0,992126	0,109741	0,033569	-5,188525	-5,408985	-51,527908	556,55
86394	0,895935	0,280151	0,026733	-2,899707	-12,489063	-54,915359	556,54
86494	1,154236	0,226929	0,035522	-13,016284	-3,028614	-59,248856	556,57
86594	1,109802	0,286987	0,073608	6,881177	1,21333	-51,909378	556,58
86694	1,30658	0,028687	0,051147	-14,45061	5,98933	-62,560013	556,56
86794	0,902771	0,225464	0,103394	0,594556	1,549023	-44,798782	556,56
86894	1,009705	0,142456	0,048218	-6,195605	3,288525	-45,668533	556,55
86994	0,905701	0,335815	-0,028931	2,30354	3,593701	-36,162308	556,55
87094	0,886658	0,140991	0,070679	-8,637012	6,737011	-27,647903	556,56
87194	0,899353	0,036011	0,044312	-3,342211	-3,288013	-13,152053	556,58
87294	0,986755	0,077515	0,065796	0,28938	-3,364307	-1,143386	556,56
87394	0,856873	-0,029419	0,074097	-0,96184	-0,144703	6,043504	556,57
87494	1,050232	0,183472	0,013062	3,341138	-0,877125	12,024949	556,57
87594	0,869568	-0,071411	0,088745	6,118237	-2,937061	34,897873	556,57
